Source,Target,Distance,ExecutionTime
2688010002,2612877964,16690,00000,1940458
2612877964,4888260384,5303,00000,1800709
4888260384,5418028867,24428,00000,1579000
5418028867,280874366,8288,00000,1718167
280874366,1235099805,3726,00000,1469458
1235099805,1420939292,21478,00000,2146500
1420939292,253430060,26284,00000,2064375
253430060,1853128165,25631,00000,1934250
1853128165,4262488651,18952,00000,1856584
4262488651,1826871606,2892,00000,1136334
1826871606,3392708617,24793,00000,1790541
3392708617,356723254,19088,00000,1776375
356723254,446305235,3781,00000,1784583
446305235,727562029,5056,00000,1922667
727562029,2512162213,4444,00000,1380209
2512162213,3260799769,6741,00000,1246916
3260799769,269512969,28793,00000,2584750
269512969,5138673612,5435,00000,1574583
5138673612,4057173180,21838,00000,2730042
4057173180,1575319514,10411,00000,2701625
1575319514,4157149515,4243,00000,989792
4157149515,1170903034,6830,00000,1045084
1170903034,287284891,7933,00000,1184292
287284891,417210439,5110,00000,1111542
417210439,1430999003,6629,00000,1269958
1430999003,3900349433,1932,00000,589000
3900349433,1177652418,10963,00000,1128666
1177652418,20697412,8830,00000,1422458
20697412,696987667,994,00000,1027500
696987667,281408211,16535,00000,2590417
281408211,1595224591,22503,00000,2081833
1595224591,1182899478,5013,00000,1395041
1182899478,1015403597,10110,00000,1813625
1015403597,570476,26100,00000,2579833
570476,1366090103,6341,00000,1671166
1366090103,248802792,5070,00000,1433334
248802792,290678059,5140,00000,1812958
290678059,285883683,11651,00000,2061625
285883683,2479776278,27856,00000,2263250
2479776278,1349411976,25262,00000,2279000
1349411976,2485455919,3958,00000,1339875
2485455919,281169321,24108,00000,2385750
281169321,307812723,33807,00000,1703958
307812723,582753342,28030,00000,2310542
582753342,1586050934,6004,00000,1544917
1586050934,3667658917,7547,00000,5457917
3667658917,5068894609,12066,00000,5120334
5068894609,2041092705,1931,00000,4261250
2041092705,2298773113,9623,00000,3620167
2298773113,3271170673,18992,00000,4767792
3271170673,2034815414,13555,00000,23375916
2034815414,450955194,24209,00000,6768834
450955194,1437508182,6758,00000,5340459
1437508182,3910523068,4874,00000,3855875
3910523068,2359407138,21047,00000,4700375
2359407138,1298266815,21522,00000,4367666
1298266815,2293315398,21308,00000,46401500
2293315398,4785294311,9040,00000,2248292
4785294311,534346921,1537,00000,789333
534346921,1263611747,3607,00000,1093250
1263611747,3824555657,10063,00000,2116042
3824555657,638770325,11595,00000,1736417
638770325,415340783,4551,00000,1356208
415340783,2501897250,8656,00000,1910000
2501897250,309447926,16527,00000,4248125
309447926,2844893739,2122,00000,799000
2844893739,2776085844,25325,00000,3967500
2776085844,1753121202,7465,00000,1019625
1753121202,3062616791,8648,00000,1267209
3062616791,1261285921,9393,00000,1334375
1261285921,1286235845,9125,00000,1317375
1286235845,3284639585,28461,00000,2276833
3284639585,3766397607,27384,00000,2045250
3766397607,4510103736,2690,00000,854584
4510103736,1100465814,17122,00000,1897958
