Source,Target,Distance,ExecutionTime
2411017089,2398614148,18609,00000,1228625
2398614148,1148162944,19823,00000,1136667
1148162944,2063617565,14782,00000,975375
2063617565,301892673,7597,00000,884459
301892673,1499681280,6910,00000,938875
1499681280,4560720244,8400,00000,1311667
4560720244,32347968,23926,00000,2046250
32347968,521337691,7940,00000,1091709
521337691,1121917446,22189,00000,1508042
1121917446,1231220426,16938,00000,1615375
1231220426,1847282028,1950,00000,668584
1847282028,1937256885,12673,00000,1397375
1937256885,1275815241,12444,00000,1646167
1275815241,881573139,17160,00000,1707375
881573139,282199115,17687,00000,1765167
282199115,34570636,21978,00000,1592625
34570636,32995540,5440,00000,1069084
32995540,1456912353,20284,00000,1590500
1456912353,3579165238,14837,00000,1558292
3579165238,2904432265,14276,00000,1205167
2904432265,477489524,20401,00000,1627417
477489524,2427849925,9478,00000,1155542
2427849925,295188292,16550,00000,1275334
295188292,20930076,6078,00000,1392000
20930076,510590951,17937,00000,2041750
510590951,4125266413,5510,00000,1047917
4125266413,1764280472,2534,00000,746167
1764280472,3941506218,18399,00000,1372791
3941506218,2298023036,13765,00000,1331958
2298023036,989136491,13879,00000,915459
989136491,4470897922,10549,00000,881958
4470897922,343439627,3508,00000,2333416
343439627,3301942299,20423,00000,2595833
3301942299,1083339878,6742,00000,1974959
1083339878,1603848027,6020,00000,1017625
1603848027,2046506832,2430,00000,819291
2046506832,285880704,1317,00000,665500
285880704,1456755724,19444,00000,1549625
1456755724,2351510721,13895,00000,998709
2351510721,5404229652,12187,00000,899709
5404229652,3228908856,2197,00000,669584
3228908856,3283508924,9161,00000,1154875
3283508924,254512345,7370,00000,1220500
254512345,252634855,12623,00000,2457750
252634855,2415181020,6792,00000,4854292
2415181020,442114096,6147,00000,4493625
442114096,1336996491,12042,00000,6305334
1336996491,461812490,10271,00000,8629209
461812490,278769906,5544,00000,5737583
278769906,1148282843,17744,00000,5142000
1148282843,1298230348,18648,00000,5758667
1298230348,3679856927,6079,00000,3227916
3679856927,3967682416,13850,00000,3757000
3967682416,4529165396,13795,00000,3987375
4529165396,470201510,3217,00000,3041416
470201510,1098716816,681,00000,3988666
1098716816,271417083,9666,00000,3707792
271417083,1028727944,4885,00000,3592250
1028727944,3772375186,3291,00000,4210959
3772375186,957836619,5852,00000,3411750
957836619,2318091884,1854,00000,3200542
2318091884,2286664820,6219,00000,3560375
2286664820,27133378,7582,00000,2862167
