Source,Target,Distance,ExecutionTime
1807671066,1151212142,8408,00000,1351375
29216318,202398963,4308,00000,1133000
1117132781,506274579,10746,00000,1401125
301054797,371654240,4398,00000,739459
617759311,1092508168,20292,00000,2129291
417755335,2351252890,3301,00000,1098916
1219137520,1689053089,19230,00000,1420208
3334820249,418193164,14658,00000,1927375
2484629546,1096799845,23332,00000,1819250
301894697,1707287994,13960,00000,1387542
451765430,1409847588,5461,00000,959375
413711853,391012544,4137,00000,847708
382975135,2059672584,6448,00000,1442291
2404517076,35506998,3670,00000,1720708
1195414320,1495420944,18637,00000,2014375
1778061802,4557785856,4929,00000,1298875
1920814309,5272747373,8105,00000,1979000
5070402434,1106766435,24995,00000,2074250
4460304584,252102329,17089,00000,1467333
610821382,1519670415,12184,00000,1127083
2466998480,450156072,21453,00000,2103000
274845620,1130852488,12096,00000,1308041
1411315235,325650022,1422,00000,547250
4383620878,15043535,7339,00000,1029458
30560472,82653804,9467,00000,1652792
288475383,732923704,8601,00000,1422333
2526509845,810647792,10542,00000,1482875
1105871856,118637,6516,00000,760041
255551440,2612306080,6579,00000,1250542
1034081756,433569935,23264,00000,1975958
1100557624,1086955678,8278,00000,1106584
2361999792,270379993,7342,00000,1077791
4496967364,3189842592,8500,00000,1048083
292201958,2669116186,22545,00000,1807750
1708068,1362171126,7734,00000,1064084
582201328,2516084391,1931,00000,524041
661326785,32036801,7518,00000,1143542
2571175502,2844893748,3906,00000,699125
199128511,1581576145,9408,00000,1585750
5368667223,1278029332,11236,00000,1457708
1510041575,280452768,5910,00000,1101292
5214232819,282697795,3534,00000,953250
5154017405,3953541056,3304,00000,845167
3724806164,1568204100,7416,00000,9077334
413221600,1022394490,8245,00000,1505417
516555815,472165124,2563,00000,797958
265506908,5224382093,15295,00000,2226834
248208331,427739662,6687,00000,1176917
289471672,454345910,8914,00000,1203625
3031573626,490368895,8632,00000,1665417
302138622,1688734476,25450,00000,3265959
313736782,5226184018,7023,00000,1298541
4729711178,1234072593,19193,00000,1653250
29223781,2399162266,5624,00000,952250
4202713309,769353154,14650,00000,1564125
251077098,255564964,6321,00000,1303375
1582223290,444812588,6590,00000,1729041
1144467590,490369608,8163,00000,1181792
771802153,2236793662,26092,00000,1750167
5073979880,279387129,27856,00000,1949375
1585543077,130578348,8312,00000,1092084
1879436557,3262418197,1689,00000,609750
32554661,281382597,20215,00000,2258208
1409868664,268692496,3397,00000,744083
277840690,2951515353,3538,00000,826916
3687324620,1153184072,26096,00000,1555584
1666871023,3114668061,10806,00000,1490459
253689152,29785590,5569,00000,1053167
429227076,30434824,24641,00000,2117334
469735897,1128416479,1438,00000,537333
3898674441,1015430936,4258,00000,876458
3851786577,2774119019,14409,00000,1773125
249580755,3395175963,20535,00000,1742834
5236136127,485998421,5442,00000,978416
880403880,1609106990,8749,00000,1196917
2459452633,454388027,8718,00000,1025500
280229208,4100779851,9436,00000,1498167
676494,312292088,19427,00000,1637959
3790514959,4279772469,26594,00000,2309000
4931040315,1974448227,7485,00000,1296292
1239505036,2398201980,13162,00000,2460083
538089627,438048726,753,00000,2166250
298885398,3628500819,18776,00000,3655458
2463834095,281444035,2566,00000,2238625
292019457,4195690412,13134,00000,3553416
322106708,1128131129,6045,00000,2752291
290650157,846225429,21326,00000,3961958
2396317298,1242178307,25817,00000,3152000
2788796880,488224038,5889,00000,3003167
3946726705,366687860,24497,00000,3835667
1030525493,701378,3071,00000,3890167
2423037883,27221441,21137,00000,4874042
3235286393,2817897669,1720,00000,36430208
3319989025,189059496,8875,00000,1503250
