Source,Target,Distance,ExecutionTime
382975135,2059672584,8692,00000,1138625
2404517076,35506998,3614,00000,927375
1195414320,1495420944,12527,00000,1371167
1778061802,4557785856,4913,00000,1456083
1920814309,5272747373,8183,00000,3124333
5070402434,1106766435,19122,00000,3210542
4460304584,252102329,14219,00000,3214750
610821382,1519670415,11904,00000,4088542
2466998480,450156072,17148,00000,4773208
274845620,1130852488,9041,00000,4504958
1411315235,325650022,1422,00000,8234625
4383620878,15043535,6983,00000,3344708
30560472,82653804,15519,00000,3687416
288475383,732923704,7917,00000,3334500
2526509845,810647792,17020,00000,3805667
1105871856,118637,15487,00000,2319583
255551440,2612306080,6491,00000,1993209
1034081756,433569935,16503,00000,3413750
1100557624,1086955678,8766,00000,2940541
2361999792,270379993,7222,00000,1759125
4496967364,3189842592,7513,00000,1244417
292201958,2669116186,17690,00000,3568042
1708068,1362171126,15502,00000,4037167
582201328,2516084391,2160,00000,5910125
661326785,32036801,15113,00000,3493166
2571175502,2844893748,4502,00000,3440542
199128511,1581576145,9394,00000,4784916
5368667223,1278029332,11896,00000,2197917
1510041575,280452768,5910,00000,2836333
5214232819,282697795,3216,00000,2314541
5154017405,3953541056,3150,00000,2531917
3724806164,1568204100,7433,00000,2077250
413221600,1022394490,7799,00000,960250
516555815,472165124,2500,00000,864083
265506908,5224382093,12918,00000,1341333
248208331,427739662,6656,00000,913375
289471672,454345910,9365,00000,1611500
3031573626,490368895,9587,00000,873333
302138622,1688734476,18062,00000,1044875
313736782,5226184018,8065,00000,1151083
4729711178,1234072593,15015,00000,2863000
29223781,2399162266,5596,00000,2172125
4202713309,769353154,11842,00000,6586167
251077098,255564964,5741,00000,3887791
1582223290,444812588,6277,00000,3198416
1144467590,490369608,7866,00000,3146708
771802153,2236793662,20196,00000,4733375
5073979880,279387129,21823,00000,4202000
1585543077,130578348,9181,00000,3378042
1879436557,3262418197,1811,00000,3964500
32554661,281382597,15959,00000,3458000
1409868664,268692496,3376,00000,2874667
277840690,2951515353,3675,00000,6408583
3687324620,1153184072,18364,00000,9881125
1666871023,3114668061,11381,00000,6310709
253689152,29785590,6009,00000,20334542
429227076,30434824,18072,00000,1864083
469735897,1128416479,1298,00000,581667
3898674441,1015430936,4149,00000,1168833
3851786577,2774119019,13973,00000,1600084
249580755,3395175963,18873,00000,1750459
5236136127,485998421,5442,00000,1558041
880403880,1609106990,10032,00000,1378250
2459452633,454388027,7778,00000,1256875
280229208,4100779851,9024,00000,1687125
676494,312292088,15134,00000,2223292
3790514959,4279772469,20450,00000,2531625
4931040315,1974448227,14439,00000,2015375
1239505036,2398201980,14838,00000,11406000
538089627,438048726,753,00000,3164208
298885398,3628500819,15981,00000,6308833
2463834095,281444035,2566,00000,5489375
292019457,4195690412,9854,00000,1748791
322106708,1128131129,6164,00000,1845833
290650157,846225429,13159,00000,2114917
2396317298,1242178307,18684,00000,2036416
2788796880,488224038,6383,00000,2150292
3946726705,366687860,18083,00000,2164166
1030525493,701378,3094,00000,1438750
2423037883,27221441,-1,00000,1451375
3235286393,2817897669,1976,00000,766833
3319989025,189059496,8404,00000,1248250
420351192,4747501960,8936,00000,1324500
2281818822,5333945037,17970,00000,1741750
1016920391,399769584,8431,00000,1542250
1089226063,1707108148,7176,00000,1104916
2041861471,17177667,3978,00000,1041833
339346681,2458113434,20700,00000,1447208
281896662,1150687812,14295,00000,1465125
2467608956,5008872801,14974,00000,1801125
4986627983,13094020,13223,00000,1589291
75620278,3561184761,3909,00000,662917
31233830,4422934897,17812,00000,1262375
295975039,4497111770,-1,00000,1006583
430206004,310148328,8304,00000,979583
3810408201,1108851312,10666,00000,1070041
2486635466,299614913,6790,00000,792792
842544471,2955914365,10043,00000,860125
1571179191,3281200471,6173,00000,1047667
97981448,2377765218,10397,00000,1411500
25931530,2590770562,2302,00000,828625
1357409952,2571442940,2631,00000,1024041
4196734180,1533759277,17851,00000,1893166
282025011,3635089398,14137,00000,1556000
123941452,2859442256,9160,00000,1453459
1027101304,3789570067,1741,00000,7851000
1200566219,21455839,1861,00000,1957334
320919419,1082367884,13302,00000,3167334
440893230,431244599,20887,00000,2943958
33981912,1617620554,5292,00000,1394875
3422950801,2966746265,7380,00000,1590833
392711543,412776202,-1,00000,1817500
278493083,3961885572,16042,00000,2585500
1441030561,29511745,21174,00000,2107375
256743403,5049805257,5710,00000,1767000
671553316,265711039,8283,00000,1579000
1775842797,4703998180,5502,00000,965500
76812875,435046199,6314,00000,1355583
1272422907,340351899,7394,00000,2092500
685791349,437139795,7719,00000,2302292
2612120388,1135357052,8398,00000,1249000
1748677975,2720470858,13074,00000,2523958
474614065,4434857607,6923,00000,1351458
4788446830,2694607670,11212,00000,1481750
17207416,280454760,13608,00000,1628250
333178234,3165059907,1668,00000,1757375
2515257115,1168499833,21906,00000,2014000
4906190688,571345585,4626,00000,1890583
4515980738,444812588,6607,00000,1444333
1163376918,3220472180,4885,00000,1116375
1596241652,898746828,3973,00000,1661584
373277883,3036890817,1419,00000,844708
1619530753,280441134,13850,00000,1378917
386922629,1306829650,18869,00000,1289625
1292990284,1308260762,17264,00000,1099125
1610599035,2298175733,11726,00000,1335833
471531790,4190114695,10617,00000,788708
4467801742,4476548635,18431,00000,1542541
2338495084,2094436775,2946,00000,1054208
2486377545,1581590814,7353,00000,1088833
670672835,1161586420,8576,00000,1002375
4900329701,1745726,1543,00000,719167
3900264292,4421004196,7871,00000,904292
674686233,4033761567,-1,00000,1267417
5056697612,1588454513,6426,00000,784417
1945673310,1791264948,17042,00000,1269833
273922652,115061285,14211,00000,1340833
243328801,1239505077,4410,00000,611500
49552524,2123635896,4615,00000,994709
2260687249,1232919521,9170,00000,962625
634580509,1105536679,22252,00000,1539000
2338494986,5075084430,10804,00000,1066916
4929376825,392389048,10595,00000,1094458
360752543,288872634,9590,00000,2684416
251757322,668473900,6531,00000,1404500
595369814,2297598848,2095,00000,736833
3463286660,1088413247,9600,00000,1173167
1083465072,3449453443,8660,00000,1032000
3098343003,266206857,5507,00000,1855542
4963145560,1367095409,8272,00000,1495333
1369553064,427756130,3889,00000,1535167
618598358,249401915,8828,00000,1824084
5253619270,2252084133,4531,00000,1589166
2409929290,68372570,3806,00000,7220584
1577249926,4519794192,4614,00000,1851583
2497583180,1570136131,17184,00000,1919000
268817738,2477017100,5056,00000,1964125
4319692210,3132017890,13364,00000,1709458
3964767578,1820951371,14887,00000,1596750
1829481173,1200521844,3179,00000,1439667
3116356426,332493423,8051,00000,1958292
560010913,224380807,6785,00000,1151833
340351879,1119624020,10521,00000,1327250
820447551,1282929801,15916,00000,1450583
427907234,1809310803,10215,00000,1203000
942385,523162062,16715,00000,1514291
1688757080,3171097013,13099,00000,3931375
4898087251,1119638469,12867,00000,2158708
4998188446,2506590509,8397,00000,2463334
1607335899,94049654,12679,00000,1852084
2513068976,3367894560,3426,00000,1252125
3829796539,1600385586,16705,00000,1705125
1079319055,4466258686,8498,00000,1462875
3017793636,2501560212,7040,00000,1509292
619526850,409618916,8314,00000,1501666
3636076595,1456233669,6487,00000,1248375
2619837443,2159724434,10648,00000,1657750
1609821256,310655056,13164,00000,1790958
2586474378,1301780425,4020,00000,1256250
5250418294,1314392315,3328,00000,1387042
267039598,3372915220,9533,00000,1726166
2410758991,561370470,4192,00000,1252375
2681232085,3019027329,4364,00000,1554084
1333553276,1079046539,4640,00000,1100333
3679856935,1770710360,16139,00000,1655333
3158423039,372798261,10886,00000,1287125
2241552128,1269703243,7485,00000,1159000
1769685012,2214656350,5464,00000,1428292
279736657,1814913814,10324,00000,1947416
3716773196,1027101365,5314,00000,1516958
4195690597,687454934,8720,00000,1982583
4737100327,30789823,4527,00000,1868708
4187191964,1091395685,6552,00000,1252792
1096563846,4150508905,2226,00000,1076541
3374409702,1188042453,11794,00000,1608750
422669646,4487777989,13075,00000,1237084
3280610609,387537785,4370,00000,1202167
271333697,241379972,12597,00000,1421875
3905350627,5072352530,4655,00000,1014416
4554528999,281407276,15490,00000,1659666
